Date,Price,Floor
23.09.27,"11억 8,000",329동 10층
23.09.26,"11억 9,000",322동 9층
23.09.24,"11억 3,000",329동 6층
23.09.20,"11억 9,500",341동 13층
23.09.11,"11억 9,000",334동 14층
23.08.30,"직7억 6,000",334동 11층
23.08.06,"12억 3,900",332동 12층
23.08.06,"11억 5,000",301동 7층
23.07.26,"11억 9,000",322동 5층
23.07.18,"11억 8,000",341동 4층
23.07.12,"11억 9,500",329동 18층
23.07.11,"11억 1,000",329동 22층
23.07.08,"11억 8,200",330동 11층
23.06.08,"11억 4,250",327동 4층
23.06.01,11억,301동 5층
23.05.22,"11억 7,500",341동 8층
23.04.08,"취소10억 7,500",301동 5층
23.03.22,11억,329동 7층
23.03.14,"10억 9,500",315동 14층
23.03.13,"10억 7,500",329동 5층
23.02.27,11억,340동 16층
23.02.17,"10억 5,000",308동 6층
23.02.16,11억,321동 8층
23.02.14,"10억 5,000",329동 7층
23.02.13,"10억 4,500",334동 12층
23.02.11,"10억 2,500",315동 4층
23.02.11,"10억 5,000",329동 18층
23.02.09,"10억 1,000",326동 2층
23.02.08,"10억 5,500",329동 22층
23.02.08,"10억 5,000",307동 7층
23.02.07,"10억 7,000",319동 5층
23.02.01,"9억 9,000",328동 4층
23.01.31,10억,336동 4층
23.01.31,"10억 5,000",330동 12층
23.01.28,"10억 4,000",334동 8층
23.01.13,"9억 8,500",308동 4층
22.12.17,"10억 5,000",330동 17층
22.12.17,"취소10억 5,000",330동 17층
22.12.02,"9억 8,000",333동 10층
22.11.16,"9억 3,000",332동 2층
22.11.04,"10억 7,000",329동 18층
22.10.25,"10억 5,000",322동 6층
22.10.06,"13억 4,000",315동 14층
22.09.26,"10억 2,000",333동 3층
22.09.03,"11억 5,000",308동 20층
22.08.29,"11억 5,000",308동 9층
22.08.26,"11억 5,000",322동 11층
22.08.24,"11억 5,000",330동 8층
22.08.23,11억,301동 16층
22.06.01,"12억 9,000",322동 3층
22.06.01,"12억 8,500",329동 3층
22.05.17,"13억 3,800",327동 22층
22.05.15,"취소13억 4,000",315동 14층
21.10.12,"14억 2,300",321동 10층
21.08.28,"14억 4,500",321동 2층
21.08.28,"14억 6,500",328동 8층
21.08.07,"14억 1,800",328동 5층
21.08.07,"14억 1,800",328동 5층
21.07.31,"13억 8,000",322동 7층
21.05.13,"13억 1,000",322동 12층
21.04.11,"13억 3,000",334동 16층
21.04.06,13억,333동 8층
21.04.05,"12억 9,500",307동 12층
21.03.27,"12억 7,000",326동 2층
21.01.10,"13억 5,000",301동 13층
21.01.02,"13억 5,000",307동 13층
20.12.10,"12억 8,000",329동 20층
20.12.02,"12억 9,000",330동 15층
20.11.30,14억,334동 21층
20.11.29,"13억 8,500",315동 13층
20.11.24,"12억 5,000",334동 3층
20.11.21,"13억 9,500",326동 16층
20.09.28,"11억 3,002",301동 3층
20.09.16,"12억 4,500",333동 6층
20.08.29,"11억 9,000",307동 9층
