Date,Price,Floor
23.10.17,"35억 5,000",401동 12층
23.09.22,35억,401동 22층
23.08.19,"35억 7,000",401동 13층
23.08.03,"33억 3,000",406동 6층
23.07.28,39억,411동 22층
23.05.25,"33억 7,000",404동 10층
23.05.19,"32억 2,000",405동 20층
23.05.11,29억,403동 22층
23.04.28,"32억 3,000",404동 19층
23.04.22,"32억 5,000",410동 11층
23.04.19,"30억 6,000",405동 15층
23.04.15,"29억 2,500",406동 15층
23.04.15,"35억 7,000",411동 19층
23.04.08,29억,406동 7층
23.04.04,"29억 3,000",408동 2층
23.04.01,"35억 6,000",411동 5층
23.02.06,"28억 5,000",411동 2층
23.01.09,"26억 5,000",407동 5층
23.01.07,"31억 5,000",401동 8층
21.10.09,41억,411동 6층
21.08.04,"34억 9,000",405동 12층
21.06.21,"34억 7,000",401동 14층
21.06.16,"29억 4,900",1층 경매
21.05.23,"30억 7,500",408동 6층
21.05.08,33억,405동 12층
21.04.27,"32억 5,000",407동 9층
21.03.13,"32억 1,000",407동 3층
21.03.04,"32억 9,000",404동 7층
21.02.22,32억,404동 16층
21.01.22,"33억 2,000",412동 22층
21.01.22,"31억 4,800",403동 11층
21.01.16,"32억 3,000",402동 11층
21.01.04,"32억 9,000",410동 18층
20.12.28,33억,412동 16층
20.12.12,32억,402동 13층
20.12.05,32억,402동 6층
20.12.05,취소32억,402동 6층
20.12.03,"31억 9,000",401동 5층
20.11.28,"33억 7,000",411동 8층
20.11.19,30억,410동 4층
20.11.16,"31억 5,000",402동 17층
20.11.11,취소32억,402동 13층
20.10.19,"32억 4,000",410동 3층
20.10.17,"32억 8,000",410동 10층
20.08.05,"31억 7,000",401동 13층
