Date,Price,Floor
23.10.07,"17억 4,000",509동 5층
23.09.28,17억,409동 3층
23.09.12,"17억 1,500",307동 19층
23.09.05,"17억 2,700",409동 10층
23.08.26,"17억 5,000",415동 10층
23.08.24,"17억 4,000",507동 7층
23.08.20,"16억 8,000",216동 5층
23.08.03,17억,216동 4층
23.07.31,17억,214동 6층
23.07.17,"13억 1,000",415동 11층
23.06.29,"16억 6,000",509동 10층
23.06.04,17억,510동 7층
23.06.01,"15억 7,300",307동 2층
23.05.22,16억 500,214동 11층
23.05.01,"15억 2,500",416동 2층
23.05.01,"15억 4,000",415동 3층
23.04.28,"15억 7,000",409동 14층
23.04.22,"15억 4,500",307동 4층
23.04.12,"취소15억 4,000",4층
23.04.12,"15억 4,000",4층
23.03.21,"15억 8,000",507동 11층
23.03.18,"15억 2,000",509동 3층
23.03.16,16억,503동 10층
23.02.18,"15억 5,000",510동 9층
23.02.17,"15억 9,000",503동 10층
23.02.12,15억,409동 8층
23.02.10,"14억 3,500",409동 3층
23.02.10,"15억 4,000",216동 10층
23.02.07,"15억 2,000",214동 14층
23.02.05,"15억 6,500",216동 9층
23.02.05,"15억 2,000",503동 12층
23.02.04,"15억 1,500",507동 9층
23.01.30,15억,409동 13층
23.01.19,"14억 7,000",509동 6층
23.01.16,"14억 8,000",507동 5층
23.01.16,"취소14억 8,000",507동 5층
23.01.16,"14억 3,500",509동 14층
23.01.11,"14억 4,000",509동 18층
23.01.08,"14억 6,000",215동 5층
23.01.04,"14억 1,000",409동 15층
22.12.24,"13억 9,000",416동 7층
22.12.23,"12억 8,700",216동 1층
22.12.01,"12억 6,500",415동 2층
21.09.29,"20억 9,000",214동 16층
21.09.29,"19억 4,900",507동 8층
21.09.04,"18억 7,500",214동 2층
21.08.20,"19억 4,500",510동 13층
21.08.16,"18억 9,000",214동 22층
21.08.10,"18억 9,000",409동 11층
21.07.30,"18억 6,000",503동 23층
21.07.06,"18억 7,000",215동 4층
21.06.17,"18억 5,000",409동 17층
21.06.01,"16억 8,000",409동 5층
21.06.01,"18억 2,000",503동 8층
21.05.17,"17억 4,000",503동 9층
21.05.15,"18억 2,200",507동 13층
21.05.14,"17억 9,000",216동 10층
21.05.06,"17억 4,500",409동 7층
21.04.26,"17억 8,000",509동 8층
21.04.24,"17억 5,000",214동 10층
21.04.23,"16억 5,000",415동 1층
21.04.16,"16억 9,000",503동 14층
21.04.16,17억,214동 18층
21.04.10,"16억 8,000",307동 20층
21.04.05,17억,503동 7층
21.02.27,"16억 9,000",503동 9층
21.02.22,"18억 1,000",509동 9층
21.02.21,"17억 5,000",307동 15층
21.02.16,"16억 8,000",307동 1층
21.02.06,"17억 5,000",214동 20층
21.02.03,17억,507동 16층
21.01.28,"17억 5,000",503동 5층
21.01.23,18억,214동 7층
21.01.13,"취소17억 5,000",503동 9층
20.12.23,"17억 5,000",307동 16층
20.11.29,"16억 5,000",409동 11층
20.11.14,17억,7층 입주권
20.11.13,17억,8층 입주권
20.08.24,"16억 4,000",3층 입주권
20.08.24,"취소16억 4,000",3층 입주권
20.08.07,17억,16층 입주권
20.06.25,"15억 2,000",18층 입주권
20.05.06,14억,4층 입주권
19.12.10,"15억 5,000",17층 분양권
19.12.09,"15억 2,000",5층 분양권
