Date,Price,Floor
23.09.27,"28억 2,000",303동 13층
23.08.16,"27억 3,000",220동 6층
23.07.31,"26억 5,000",221동 29층
23.07.18,직27억,208동 7층
23.06.10,27억,220동 31층
23.06.03,취소27억,220동 31층
23.05.09,"26억 4,000",301동 22층
23.03.14,"25억 4,500",218동 18층
22.10.04,25억,221동 23층
22.07.27,"28억 5,000",218동 8층
22.05.27,"31억 7,000",209동 21층
21.10.20,32억,301동 5층
21.10.10,33억,303동 22층
21.10.01,32억,218동 8층
21.09.04,31억,302동 22층
21.08.14,"30억 2,000",302동 18층
21.08.05,"29억 6,500",221동 22층
21.07.16,"28억 7,500",219동 28층
21.06.19,"25억 8,000",219동 5층
21.05.29,"28억 5,000",209동 18층
21.05.07,28억,218동 17층
21.02.10,"26억 3,000",218동 3층
21.02.09,"24억 5,000",209동 1층
20.12.15,"25억 7,500",221동 15층
20.12.12,25억,218동 24층
20.12.08,25억,301동 11층
20.12.03,"24억 7,000",218동 21층
20.12.03,"취소24억 7,000",218동 21층
20.11.21,"25억 7,000",302동 31층
20.08.13,"23억 2,000",302동 3층
20.07.20,25억,303동 17층
20.07.08,22억,221동 13층
20.06.29,"23억 3,000",209동 12층
20.06.26,"22억 2,000",218동 31층
20.06.26,"22억 8,000",302동 23층
