Date,Price,Floor
23.10.05,"9억 3,000",408동 3층
23.09.23,"11억 5,000",210동 15층
23.09.12,"11억 6,000",506동 18층
23.09.11,"11억 9,000",310동 16층
23.09.09,"11억 2,000",103동 6층
23.08.23,"11억 2,000",210동 14층
23.08.22,11억,103동 7층
23.06.19,"11억 5,000",211동 3층
23.06.15,"11억 9,000",506동 7층
23.06.15,"10억 9,500",310동 18층
23.06.10,"11억 2,500",308동 8층
23.06.04,"11억 5,000",310동 16층
23.05.23,"11억 1,500",308동 11층
23.05.21,11억,506동 17층
23.05.13,11억,103동 18층
23.05.06,11억,408동 7층
23.04.26,"10억 9,000",209동 18층
23.04.18,"10억 9,000",508동 9층
23.04.13,"10억 8,000",211동 12층
23.04.03,"10억 5,000",212동 19층
23.03.28,"9억 8,000",310동 21층
23.03.25,"10억 3,300",103동 17층
23.03.18,9억,209동 1층
23.03.11,"9억 7,500",210동 9층
23.03.11,"9억 5,900",210동 8층
23.03.10,"9억 7,000",209동 9층
23.03.04,"9억 8,500",506동 11층
23.03.01,"9억 8,000",308동 16층
23.02.25,"9억 9,800",407동 29층
23.02.23,"8억 9,200",210동 1층
23.02.18,"9억 4,000",103동 13층
23.02.17,"9억 6,500",210동 25층
23.02.14,"9억 1,000",103동 3층
23.02.13,"9억 5,500",508동 4층
23.02.09,"9억 1,000",310동 4층
23.01.18,"9억 2,000",308동 5층
23.01.07,"9억 2,000",308동 19층
23.01.07,"9억 3,000",209동 16층
23.01.03,"9억 5,000",103동 17층
22.12.27,"9억 1,500",506동 4층
22.12.24,"8억 8,000",308동 6층
22.12.13,"9억 1,000",210동 12층
22.11.14,"9억 2,500",103동 7층
22.09.22,11억,310동 21층
22.09.15,11억,211동 5층
22.05.14,"12억 6,000",310동 13층
22.05.07,"11억 2,000",310동 6층
22.05.02,"11억 5,000",310동 17층
22.05.02,"취소11억 5,000",310동 17층
22.04.21,"11억 9,800",210동 21층
22.04.03,"12억 5,200",508동 6층
22.02.10,"12억 5,000",211동 3층
22.02.10,13억,210동 21층
22.02.10,취소13억,210동 21층
21.12.12,"12억 7,000",407동 18층
21.11.29,"취소12억 5,000",310동 18층
21.11.06,"13억 5,000",211동 19층
21.10.31,취소13억,210동 21층
21.10.17,"12억 9,000",210동 14층
21.10.12,"12억 9,500",210동 16층
21.10.08,"12억 3,000",506동 12층
21.09.18,"12억 5,000",508동 3층
21.08.26,"12억 6,750",209동 17층
21.07.31,"12억 7,000",407동 19층
21.07.30,"12억 3,000",210동 13층
21.07.27,"12억 6,800",210동 25층
21.07.18,"13억 3,500",211동 8층
21.07.05,12억,310동 9층
21.07.03,"12억 7,500",212동 9층
21.07.02,"12억 3,000",103동 14층
21.07.01,"12억 6,000",506동 11층
21.06.14,"12억 4,000",506동 20층
21.05.22,"11억 2,000",211동 9층
21.05.21,12억,212동 21층
21.05.09,"10억 8,000",103동 1층
21.04.29,"9억 9,500",506동 5층
21.04.27,"11억 1,500",308동 21층
21.04.24,"12억 7,000",310동 16층
21.04.18,12억 800,212동 19층
21.02.23,"12억 1,000",212동 4층
21.02.02,"12억 4,000",209동 21층
21.02.01,11억,209동 18층
20.07.05,"12억 5,000",18층 입주권
20.02.08,"8억 8,500",8층 분양권
19.10.29,"11억 4,000",6층 분양권
