Date,Price,Floor
23.10.20,"10억 1,000",106동 5층
23.10.11,"10억 4,500",121동 18층
23.09.27,"10억 1,500",118동 28층
23.09.26,10억,101동 13층
23.09.23,"9억 8,000",102동 10층
23.09.22,"9억 6,000",117동 28층
23.09.16,"10억 2,500",110동 11층
23.09.14,"9억 6,000",101동 11층
23.09.11,"9억 9,400",104동 5층
23.09.09,"10억 1,700",121동 12층
23.09.09,"9억 7,000",108동 7층
23.09.05,"9억 5,000",121동 10층
23.08.26,"9억 8,750",119동 4층
23.08.26,"취소9억 8,750",119동 4층
23.08.25,"9억 5,000",108동 17층
23.08.15,"9억 7,000",116동 4층
23.08.12,"9억 9,700",115동 10층
23.08.09,10억 500,116동 32층
23.07.22,10억,121동 21층
23.07.15,"9억 4,000",104동 8층
23.06.24,"9억 5,000",117동 14층
23.06.08,"9억 7,500",118동 32층
23.06.08,10억,118동 28층
23.06.01,"9억 7,500",116동 5층
23.05.19,"9억 3,500",117동 5층
23.05.09,"9억 8,500",115동 8층
23.05.05,"9억 7,500",115동 20층
23.04.26,"9억 5,000",120동 9층
23.03.22,"9억 6,500",102동 16층
23.03.01,"9억 5,000",116동 36층
23.02.25,"9억 2,000",118동 10층
23.02.22,"9억 4,000",102동 7층
23.02.11,9억,120동 5층
23.02.08,"9억 7,000",117동 20층
23.02.08,"8억 7,000",107동 4층
23.02.04,"8억 8,500",117동 23층
23.02.01,9억,119동 14층
23.01.29,9억,116동 8층
23.01.28,"취소8억 9,500",116동 16층
23.01.28,"8억 9,500",116동 16층
23.01.27,"8억 6,000",121동 28층
23.01.20,"8억 5,000",102동 10층
23.01.19,"8억 5,000",102동 6층
22.12.17,"8억 5,000",106동 12층
22.10.15,10억,121동 14층
22.10.05,"10억 4,000",118동 20층
22.08.27,10억,118동 32층
22.05.23,"직8억 7,000",121동 25층
22.05.08,"10억 7,000",101동 8층
22.04.27,"11억 7,000",115동 7층
22.04.15,11억,117동 11층
22.03.28,"10억 6,000",116동 14층
22.03.25,11억,104동 12층
22.03.18,"10억 7,000",118동 8층
22.02.19,11억,118동 13층
22.01.16,12억,101동 16층
21.12.20,12억,118동 25층
21.11.10,"11억 7,000",108동 3층
21.09.15,"12억 1,000",117동 20층
21.09.11,"12억 3,000",117동 21층
21.08.20,"12억 3,500",121동 12층
21.08.19,12억,116동 26층
21.08.19,취소12억,116동 26층
21.08.18,"11억 6,000",104동 4층
21.08.14,"12억 2,000",119동 19층
21.08.14,"12억 1,000",116동 12층
21.08.11,"11억 5,400",101동 5층
21.07.14,"11억 7,000",102동 7층
21.07.14,"11억 7,000",119동 17층
21.06.26,"12억 5,000",118동 39층
21.06.19,"11억 6,000",118동 5층
21.06.19,"11억 9,200",107동 14층
21.06.17,"11억 9,500",119동 12층
21.06.06,"11억 3,000",121동 22층
21.05.23,"11억 5,000",101동 15층
21.05.04,"11억 4,500",119동 7층
21.05.01,"12억 5,000",117동 35층
21.04.23,"11억 3,000",101동 4층
21.04.21,"11억 7,500",117동 8층
21.04.20,"11억 4,000",101동 7층
21.04.16,11억,102동 10층
21.04.01,"11억 7,800",120동 7층
21.03.27,"11억 5,500",103동 6층
21.03.24,"11억 5,500",119동 9층
21.03.20,"11억 5,500",101동 9층
21.03.08,"11억 9,000",116동 39층
21.03.06,"11억 8,000",121동 27층
21.03.03,"12억 1,000",116동 15층
21.03.03,"11억 5,500",116동 36층
21.02.20,"11억 5,000",102동 5층
21.02.15,"11억 9,000",107동 6층
21.02.11,"11억 3,000",110동 11층
21.01.30,"11억 5,000",116동 12층
21.01.21,"11억 4,500",116동 9층
21.01.19,"11억 4,300",104동 3층
21.01.15,"11억 4,000",121동 18층
20.12.23,"11억 6,000",103동 9층
20.12.10,8억,119동 18층
20.12.08,"11억 3,500",101동 5층
20.11.02,"11억 7,500",116동 37층
20.10.10,"취소9억 5,000",18층 입주권
20.08.20,10억,108동 12층
20.08.10,"9억 9,500",16층 입주권
20.08.08,"11억 3,000",14층 입주권
20.07.30,"10억 7,500",8층 입주권
