Date,Price,Floor
23.10.13,"18억 2,000",102동 10층
23.10.04,"21억 5,000",103동 13층
23.09.13,"21억 1,000",103동 22층
23.08.28,"18억 3,500",103동 8층
23.08.21,"20억 4,000",103동 13층
23.08.21,18억,101동 6층
23.08.14,"21억 2,000",102동 20층
23.08.11,"18억 6,500",102동 19층
23.07.27,"20억 1,500",103동 3층
23.07.27,"17억 9,000",101동 18층
23.07.15,18억,102동 22층
23.07.08,"17억 5,000",103동 5층
23.06.03,"19억 4,000",101동 1층
23.05.30,"18억 4,500",104동 12층
23.05.30,"20억 5,000",102동 20층
23.05.27,"취소17억 9,000",101동 18층
23.05.25,"17억 5,000",101동 14층
23.05.20,20억,104동 11층
23.05.13,"19억 7,500",103동 18층
23.05.12,"19억 2,000",102동 18층
23.04.22,"17억 8,000",104동 14층
23.04.19,"16억 5,000",103동 4층
23.04.05,"19억 6,000",101동 16층
23.03.30,"17억 1,000",103동 13층
23.03.28,19억,103동 15층
23.03.21,"17억 3,000",103동 13층
23.03.21,"16억 9,000",102동 6층
23.02.22,"16억 4,500",101동 14층
23.02.11,16억,101동 23층
23.02.07,"16억 2,500",101동 12층
23.01.20,16억,101동 5층
23.01.06,16억,103동 14층
22.09.08,24억,103동 13층
21.10.27,"21억 9,000",102동 13층
21.10.16,"24억 6,000",102동 22층
21.10.03,"22억 9,500",101동 18층
21.09.15,"20억 5,000",103동 12층
21.07.08,"21억 8,000",104동 14층
21.06.02,"19억 5,000",102동 8층
21.05.22,"19억 8,000",104동 3층
21.05.21,22억,102동 20층
21.05.15,"21억 2,000",102동 3층
21.03.14,20억,104동 17층
21.02.25,"23억 2,000",104동 16층
21.02.21,"18억 9,000",102동 19층
21.02.09,19억,101동 17층
21.01.19,23억,103동 11층
20.12.15,"22억 8,000",103동 15층
20.12.01,"17억 5,000",104동 21층
20.11.16,"취소17억 5,000",104동 21층
20.09.14,"21억 8,000",104동 5층
20.08.15,"18억 4,000",101동 5층
20.06.28,"17억 5,000",101동 7층
20.06.27,"16억 5,000",101동 3층
20.06.25,16억,102동 7층
