Date,Price,Floor
23.10.12,20억,505동 8층
23.10.10,"20억 8,000",502동 5층
23.10.07,"20억 9,500",207동 26층
23.10.05,"20억 4,500",217동 9층
23.10.05,"취소20억 4,500",217동 9층
23.09.05,20억,101동 10층
23.09.01,"20억 5,000",207동 11층
23.08.31,"20억 2,500",414동 24층
23.08.29,"20억 9,500",502동 12층
23.08.26,19억,417동 2층
23.08.26,"20억 6,000",316동 6층
23.08.25,"20억 4,000",306동 17층
23.08.23,"19억 7,500",107동 20층
23.08.20,"19억 3,500",303동 9층
23.08.15,20억,501동 6층
23.08.15,"19억 5,500",516동 4층
23.08.14,"20억 3,500",218동 32층
23.07.31,"19억 8,000",208동 13층
23.07.29,"18억 4,500",207동 2층
23.07.28,"19억 7,000",201동 30층
23.07.25,"취소20억 4,000",219동 27층
23.07.25,"20억 4,000",219동 27층
23.07.16,"19억 5,000",217동 26층
23.07.05,"18억 8,000",414동 2층
23.07.04,"19억 2,000",218동 26층
23.06.29,"19억 1,500",304동 5층
23.06.28,"20억 2,000",109동 24층
23.06.28,"19억 3,000",109동 5층
23.06.23,19억,314동 9층
23.06.23,"19억 7,000",501동 8층
23.06.17,"20억 3,000",314동 8층
23.06.10,"19억 9,000",418동 12층
23.06.10,20억,417동 15층
23.06.09,16억,207동 27층
23.06.06,"19억 5,000",205동 23층
23.06.03,"19억 1,500",208동 14층
23.06.03,"19억 6,500",318동 17층
23.05.23,"18억 6,000",405동 24층
23.05.18,"19억 6,500",403동 25층
23.05.16,19억,219동 8층
23.05.12,"18억 4,000",502동 2층
23.05.11,"18억 6,000",102동 8층
23.05.08,"18억 8,500",410동 11층
23.05.08,"취소18억 8,500",410동 11층
23.05.06,"18억 4,500",212동 3층
23.05.01,"17억 9,500",219동 2층
23.04.29,"18억 7,000",303동 14층
23.04.27,"18억 8,000",207동 26층
23.04.22,"18억 9,000",405동 22층
23.04.21,"19억 7,000",401동 29층
23.04.15,"18억 4,000",413동 2층
23.04.10,18억,217동 3층
23.04.06,18억,401동 24층
23.04.05,"18억 7,000",418동 12층
23.04.01,"18억 3,000",418동 22층
23.03.31,"18억 4,000",219동 31층
23.03.31,"19억 2,500",501동 14층
23.03.29,"18억 5,000",318동 32층
23.03.25,"17억 5,000",304동 5층
23.03.23,"17억 9,500",207동 21층
23.03.23,"18억 7,000",406동 15층
23.03.22,"18억 8,000",514동 11층
23.03.19,"18억 1,000",417동 24층
23.03.19,"17억 2,000",302동 3층
23.03.16,"취소18억 1,000",417동 24층
23.03.04,"18억 2,000",406동 25층
23.03.01,"17억 7,000",207동 11층
23.02.27,"18억 8,500",413동 21층
23.02.19,18억,501동 10층
23.02.17,18억,212동 12층
23.02.12,"16억 5,500",207동 2층
23.02.11,18억,304동 24층
23.02.11,18억,413동 11층
23.02.09,18억,410동 20층
23.02.06,"17억 7,500",414동 13층
23.02.03,"17억 5,000",301동 11층
23.02.02,"17억 8,000",317동 16층
23.01.20,"16억 5,000",301동 6층
23.01.20,"취소16억 5,000",301동 6층
23.01.14,"17억 5,000",414동 7층
23.01.14,18억,217동 19층
23.01.14,18억,414동 13층
23.01.14,"15억 8,000",101동 2층
23.01.12,17억,207동 12층
22.12.23,17억,314동 21층
22.12.22,"16억 8,000",402동 20층
22.12.21,"15억 9,000",101동 6층
22.12.12,16억,107동 34층
22.11.24,17억,303동 17층
22.11.23,"17억 5,000",201동 19층
22.11.22,"16억 6,000",206동 17층
22.11.19,"17억 5,000",203동 28층
22.11.19,"16억 7,000",501동 15층
22.11.12,"17억 5,000",202동 27층
22.11.09,"18억 6,000",207동 33층
22.11.04,"18억 5,000",413동 16층
22.10.29,18억,206동 8층
22.09.26,"직13억 8,000",418동 20층
22.08.06,"20억 9,000",212동 10층
22.07.04,21억,505동 8층
22.07.02,21억,501동 15층
22.06.19,"20억 2,000",418동 8층
22.05.14,"취소20억 8,000",219동 4층
22.04.14,"직20억 9,500",514동 28층
22.03.25,"21억 4,500",502동 14층
22.03.12,"22억 2,400",204동 7층
22.03.04,"취소21억 8,000",402동 20층
22.03.04,"21억 8,000",402동 20층
22.03.02,"22억 6,000",511동 4층
21.11.17,22억,205동 6층
21.10.02,"22억 5,500",206동 5층
21.09.14,"23억 7,000",414동 18층
21.09.11,"취소22억 7,500",301동 11층
21.08.31,"19억 3,000",219동 2층
21.08.21,"22억 5,000",414동 8층
21.08.14,21억,405동 7층
21.07.26,"22억 3,000",205동 10층
21.07.17,22억,201동 34층
21.07.13,"22억 9,000",206동 22층
21.07.06,22억,203동 26층
21.07.06,22억,516동 5층
21.06.25,"20억 9,000",403동 4층
21.06.19,"22억 8,000",207동 34층
21.06.19,"21억 3,000",206동 14층
21.06.16,"20억 9,000",206동 3층
21.05.31,"21억 9,000",303동 12층
21.05.15,"21억 5,000",203동 7층
21.05.15,20억,501동 5층
21.05.14,"21억 4,000",402동 24층
21.05.12,"20억 9,500",402동 18층
21.05.11,"21억 5,000",304동 13층
21.05.11,"19억 5,500",302동 2층
21.05.06,"19억 5,000",405동 28층
21.05.01,22억,203동 28층
21.04.30,"21억 3,000",306동 7층
21.04.29,"20억 2,500",107동 9층
21.04.24,"20억 5,000",406동 13층
21.04.24,"20억 9,000",204동 24층
21.04.19,"18억 8,000",101동 9층
21.04.19,"20억 3,000",303동 8층
21.04.15,21억,314동 18층
21.04.12,21억,207동 33층
21.04.12,20억,206동 3층
21.04.11,"20억 3,000",301동 5층
21.03.25,"21억 4,000",514동 8층
21.03.07,"19억 9,000",301동 4층
21.02.25,"20억 3,000",406동 7층
21.02.13,21억 500,306동 13층
21.02.10,"20억 8,000",318동 15층
21.02.08,"20억 9,000",402동 5층
21.02.06,"19억 9,000",304동 24층
21.02.06,21억,303동 21층
21.01.28,"20억 6,500",219동 21층
20.12.23,"20억 5,000",304동 15층
20.12.22,"20억 4,000",7층 입주권
20.12.21,20억,20층 입주권
20.12.03,"19억 4,500",8층 입주권
20.11.30,"20억 1,000",20층 입주권
20.11.30,"취소20억 1,000",218동 20층
20.11.28,"19억 6,000",22층 입주권
20.11.28,"19억 7,500",12층 입주권
20.10.26,"19억 4,500",26층 입주권
20.10.23,"20억 4,000",19층 입주권
20.10.16,"18억 7,000",405동 15층
20.09.21,"19억 5,000",9층 입주권
