Date,Price,Floor
23.10.30,"21억 2,000",113동 9층
23.10.14,"21억 7,000",312동 22층
23.10.14,"21억 5,000",115동 1층
23.09.21,21억,312동 24층
23.09.20,"22억 3,000",115동 5층
23.09.16,"21억 5,000",210동 36층
23.09.09,19억,304동 2층
23.09.04,"20억 9,000",210동 18층
23.09.03,"21억 5,000",306동 24층
23.09.02,"21억 5,000",306동 10층
23.09.01,"20억 9,000",228동 33층
23.08.29,"21억 7,000",112동 17층
23.08.21,"22억 2,000",210동 24층
23.08.11,"23억 3,000",108동 18층
23.08.07,"22억 3,500",213동 15층
23.08.07,"21억 3,250",215동 15층
23.07.25,"22억 4,000",112동 16층
23.07.22,22억,211동 24층
23.07.21,"21억 4,000",309동 29층
23.07.18,"21억 8,000",108동 5층
23.07.17,"21억 5,000",114동 18층
23.07.14,"22억 9,500",225동 29층
23.07.12,"21억 9,500",305동 32층
23.07.07,"19억 3,000",310동 12층
23.07.05,22억,228동 33층
23.07.05,"20억 9,500",114동 5층
23.07.03,23억,109동 21층
23.06.30,"20억 2,700",313동 8층
23.06.29,"21억 3,500",215동 19층
23.06.24,"20억 5,000",217동 35층
23.06.21,"20억 5,000",215동 11층
23.06.21,"19억 4,000",224동 8층
23.06.17,"18억 6,000",226동 3층
23.06.15,22억,228동 22층
23.06.14,19억,226동 4층
23.06.11,"19억 1,000",229동 6층
23.06.07,21억,226동 23층
23.06.02,"20억 5,000",215동 11층
23.06.01,"19억 7,000",214동 27층
23.05.27,20억,216동 16층
23.05.25,22억,107동 18층
23.05.22,"19억 2,000",307동 20층
23.05.17,"20억 5,000",115동 9층
23.05.16,"19억 5,000",308동 29층
23.05.13,"19억 5,000",216동 30층
23.05.13,"19억 6,000",210동 19층
23.05.13,"19억 5,000",306동 19층
23.05.12,"19억 8,000",306동 33층
23.05.11,"19억 6,900",210동 16층
23.05.09,"19억 5,000",115동 33층
23.05.04,"17억 8,000",224동 1층
23.05.03,"취소18억 1,000",213동 1층
23.05.03,"18억 1,000",213동 1층
23.04.29,"19억 5,000",109동 7층
23.04.27,"18억 3,000",213동 4층
23.04.25,"19억 4,000",210동 27층
23.04.21,"19억 8,000",107동 18층
23.04.21,"19억 1,000",113동 23층
23.04.21,"18억 6,000",312동 21층
23.04.13,"19억 4,000",108동 2층
23.04.13,"19억 3,000",226동 15층
23.04.12,"18억 5,500",229동 18층
23.04.10,"18억 5,000",311동 14층
23.04.08,"18억 4,500",227동 12층
23.03.30,"18억 1,800",213동 2층
23.03.30,"취소18억 1,800",213동 2층
23.03.27,18억,308동 25층
23.03.25,"19억 3,000",212동 28층
23.03.08,"18억 5,000",310동 24층
23.03.03,"19억 4,500",108동 15층
23.03.01,18억,311동 12층
23.02.25,"17억 9,000",216동 16층
23.02.25,"18억 4,500",217동 15층
23.02.25,18억,308동 8층
23.02.24,"18억 8,000",225동 25층
23.02.21,"17억 9,000",312동 15층
23.02.19,"17억 6,000",309동 20층
23.02.17,18억,213동 18층
23.02.14,17억,304동 3층
23.02.14,"17억 5,000",308동 33층
23.02.11,"19억 2,500",107동 17층
23.02.11,"19억 3,000",108동 9층
23.02.11,"17억 3,000",226동 5층
23.02.08,"18억 5,000",115동 25층
23.02.07,18억,310동 13층
23.02.06,"17억 5,000",115동 4층
23.02.05,"18억 5,000",210동 32층
23.02.03,"17억 2,000",229동 4층
23.02.03,"취소17억 2,000",229동 4층
23.02.03,18억,306동 25층
23.02.02,"17억 5,000",215동 3층
23.01.31,17억,228동 20층
23.01.30,"17억 9,500",306동 24층
23.01.27,18억,114동 34층
23.01.27,취소18억,114동 34층
23.01.25,18억,309동 12층
23.01.25,"17억 8,000",210동 12층
23.01.21,"17억 3,000",217동 16층
23.01.20,18억,113동 35층
23.01.20,"17억 2,000",214동 9층
23.01.19,18억,214동 30층
23.01.19,17억,305동 36층
23.01.19,"17억 7,000",216동 26층
23.01.09,17억,226동 9층
23.01.05,"16억 5,000",305동 30층
23.01.03,"17억 2,000",225동 22층
22.12.31,"17억 2,000",210동 24층
22.12.29,"17억 4,000",211동 17층
22.12.24,"16억 5,500",210동 12층
22.12.23,17억,216동 3층
22.12.21,"16억 9,000",214동 35층
22.12.15,"17억 4,000",307동 20층
22.12.13,"16억 8,000",227동 11층
22.12.10,17억,307동 21층
22.12.01,"17억 9,000",213동 11층
22.11.30,"16억 7,000",305동 20층
22.11.25,"16억 8,000",113동 21층
22.11.01,"17억 7,000",211동 29층
22.10.15,"17억 7,000",227동 25층
22.09.29,"20억 2,000",308동 12층
22.08.17,"21억 4,000",113동 33층
22.06.15,"취소21억 1,500",314동 8층
22.06.08,25억,115동 9층
22.06.01,"21억 2,000",307동 25층
22.05.09,"직12억 6,500",312동 26층
22.04.27,"23억 4,000",212동 30층
22.04.23,"23억 6,000",107동 22층
22.04.19,"21억 5,000",313동 3층
