Date,Price,Floor
23.09.19,"35억 8,000",101동 16층
23.09.03,"33억 8,000",127동 17층
23.08.30,"36억 8,000",109동 11층
23.08.29,"35억 4,000",116동 21층
23.08.23,"35억 4,000",101동 6층
23.08.02,"34억 6,000",120동 25층
23.07.26,"36억 9,000",109동 25층
23.07.23,"36억 1,500",101동 18층
23.07.22,"35억 5,000",107동 20층
23.06.23,"35억 4,500",109동 24층
23.06.19,36억,109동 25층
23.06.14,"32억 7,500",127동 16층
23.06.03,"34억 5,000",103동 15층
23.05.13,"35억 7,000",111동 19층
23.04.10,31억,127동 19층
23.04.06,35억,107동 27층
23.03.11,34억,102동 28층
23.02.24,34억,107동 15층
23.02.21,"31억 5,000",109동 19층
23.02.16,"32억 5,000",109동 18층
23.02.05,33억,111동 10층
23.02.04,"취소31억 5,000",103동 16층
23.02.04,"31억 5,000",103동 16층
23.01.12,"32억 9,000",107동 17층
23.01.01,30억,103동 19층
22.12.26,31억,108동 21층
22.12.26,취소31억,108동 21층
22.11.02,"36억 5,000",108동 27층
22.08.16,"취소37억 8,000",108동 27층
22.05.28,39억,102동 28층
22.05.01,38억,103동 19층
22.04.23,"38억 4,000",109동 11층
22.04.09,38억,101동 11층
22.03.30,"36억 5,000",101동 24층
22.03.30,"취소36억 5,000",101동 24층
22.03.26,"35억 2,000",127동 16층
22.03.26,36억,127동 7층
22.03.01,36억,128동 14층
22.01.15,38억,107동 9층
22.01.11,"37억 5,000",107동 7층
21.11.24,"34억 4,000",128동 13층
21.11.09,38억,116동 22층
21.10.15,38억,108동 15층
21.09.11,"35억 1,000",128동 18층
21.09.03,36억,103동 13층
21.08.28,35억,109동 18층
21.08.24,36억,120동 17층
21.07.17,36억,111동 19층
21.07.11,35억,111동 10층
21.07.08,"34억 5,000",101동 20층
21.07.08,"32억 4,000",127동 10층
21.05.25,32억,108동 19층
21.05.15,"32억 9,000",111동 5층
21.04.28,"33억 5,000",111동 29층
21.04.23,33억,102동 23층
21.04.14,"30억 8,000",108동 29층
21.03.23,29억,127동 21층
21.02.25,"31억 2,000",107동 14층
21.02.19,26억,116동 5층
21.02.18,32억,101동 12층
21.02.10,"31억 5,000",101동 18층
21.01.23,32억,120동 17층
21.01.19,29억 500,127동 20층
21.01.14,"30억 7,500",127동 2층
20.12.21,"31억 5,000",109동 7층
20.12.05,"31억 7,000",108동 7층
20.12.01,32억,109동 16층
20.11.27,"31억 5,000",101동 19층
20.10.31,31억,111동 22층
20.10.25,"32억 2,000",107동 17층
20.09.23,"29억 6,000",127동 21층
20.09.12,"30억 1,000",120동 10층
20.09.05,"31억 5,000",111동 21층
20.08.29,"30억 7,000",107동 17층
20.08.24,"30억 7,000",102동 19층
