Date,Price,Floor
23.10.18,"14억 5,000",113동 20층
23.10.14,14억,121동 2층
23.08.26,"14억 4,000",126동 14층
23.08.23,"13억 9,000",149동 6층
23.08.21,"14억 4,000",110동 7층
23.08.15,"14억 3,200",123동 12층
23.07.30,"13억 9,000",133동 9층
23.07.29,"13억 8,200",123동 3층
23.07.24,14억,117동 5층
23.07.20,"13억 9,700",121동 11층
23.06.24,"14억 3,000",118동 8층
23.06.24,"취소14억 3,000",118동 8층
23.06.17,"13억 9,000",133동 16층
23.06.17,"13억 3,000",123동 4층
23.06.05,"13억 4,600",149동 3층
23.06.03,"14억 2,000",111동 15층
23.05.20,"13억 3,000",150동 7층
23.05.16,"13억 5,000",126동 7층
23.04.22,"13억 4,500",111동 12층
23.03.23,"11억 7,000",126동 1층
23.03.19,"12억 9,000",117동 4층
23.03.13,"12억 4,500",130동 6층
23.03.04,"12억 7,900",149동 16층
23.02.12,"12억 3,000",126동 7층
23.02.12,"취소12억 3,000",126동 7층
23.02.09,"12억 9,000",109동 21층
23.02.05,"12억 8,800",118동 9층
23.02.04,"12억 9,000",116동 11층
23.01.25,"12억 4,000",113동 15층
23.01.19,"11억 9,000",149동 21층
23.01.09,"12억 7,000",109동 8층
22.11.07,직9억,118동 23층
22.10.16,"11억 8,500",120동 3층
22.10.15,12억,111동 6층
21.12.31,"15억 4,000",150동 24층
21.12.21,"15억 3,000",109동 13층
21.10.16,"16억 2,500",118동 20층
21.09.04,16억,149동 10층
21.08.17,"16억 6,000",111동 17층
21.07.10,"15억 5,000",123동 19층
21.07.10,"취소15억 5,000",123동 19층
21.05.07,"13억 2,000",126동 21층
21.05.06,"15억 1,000",121동 5층
21.03.01,16억,110동 25층
20.12.24,"14억 9,000",126동 4층
20.11.24,"15억 4,000",149동 9층
20.11.04,"14억 9,500",149동 8층
20.11.03,15억,113동 10층
20.09.07,"15억 8,500",17층
20.08.24,"13억 9,700",133동 15층
20.08.11,"14억 5,000",120동 2층
20.08.08,"14억 9,500",110동 8층
20.08.08,15억,113동 4층
20.08.05,14억,149동 14층
20.08.01,14억,150동 15층
