Date,Price,Floor
23.09.25,18억,402동 19층
23.09.18,"18억 2,500",404동 28층
23.09.14,"18억 5,000",410동 18층
23.09.05,18억,402동 9층
23.08.01,"18억 5,000",410동 22층
23.07.17,"17억 5,000",408동 18층
23.07.14,"17억 8,500",408동 15층
23.06.23,"15억 4,000",302동 3층
23.06.19,18억,413동 16층
23.06.17,"16억 9,000",403동 17층
23.06.03,"15억 6,500",205동 2층
23.05.31,"16억 4,000",102동 7층
23.05.30,"15억 8,000",304동 16층
23.05.27,"16억 4,000",105동 18층
23.05.27,"16억 4,500",104동 14층
23.05.23,"16억 2,700",205동 8층
23.05.22,"15억 2,000",302동 14층
23.05.20,"16억 8,000",413동 21층
23.05.14,"16억 5,000",210동 14층
23.05.13,"15억 7,000",103동 14층
23.05.12,"15억 2,000",303동 4층
23.05.10,15억,304동 23층
23.05.08,"15억 6,000",105동 6층
23.05.06,"16억 7,000",102동 16층
23.05.04,"16억 5,000",413동 10층
23.05.04,"취소16억 5,000",413동 10층
23.05.01,"13억 9,800",303동 1층
23.04.30,"14억 3,000",303동 5층
23.04.29,"16억 2,000",410동 12층
23.04.05,"16억 3,000",208동 8층
23.03.27,"16억 2,000",408동 15층
23.03.25,"15억 7,000",413동 10층
23.03.18,"14억 8,000",303동 2층
23.03.12,"16억 3,000",413동 11층
23.02.22,"16억 3,000",410동 9층
23.01.26,"16억 1,500",210동 16층
23.01.25,"15억 5,000",212동 24층
22.12.17,"16억 2,000",404동 16층
22.09.29,"17억 1,500",413동 5층
22.07.09,"18억 4,000",103동 4층
22.06.01,"18억 2,500",304동 8층
22.05.31,"18억 7,500",413동 17층
22.05.28,18억,303동 11층
22.05.03,"18억 4,000",103동 11층
22.04.16,"18억 5,000",105동 8층
21.11.02,19억,105동 18층
21.10.27,"19억 4,000",403동 10층
21.10.21,"19억 4,000",210동 12층
21.10.13,18억,304동 11층
21.10.03,"18억 5,000",303동 11층
21.09.15,"19억 4,500",103동 16층
21.09.15,"19억 3,500",404동 26층
21.09.13,취소18억,303동 11층
21.09.11,"18억 9,000",103동 14층
21.09.10,"18억 5,500",408동 8층
21.09.03,18억,403동 9층
21.08.26,"18억 9,800",404동 17층
21.08.07,"18억 6,000",208동 4층
21.08.06,"18억 5,000",410동 7층
21.07.10,"18억 5,000",102동 14층
21.06.16,18억,105동 5층
21.06.09,"18억 4,000",208동 10층
21.06.05,18억,102동 11층
21.04.24,17억,304동 16층
21.04.21,"16억 9,000",303동 11층
21.04.19,"18억 3,000",102동 15층
21.03.20,19억,1층
21.03.06,"18억 4,500",102동 7층
21.02.03,"18억 5,000",102동 21층
21.01.30,"18억 7,500",403동 21층
21.01.29,"17억 7,500",212동 4층
21.01.16,"17억 5,000",404동 16층
21.01.16,"17억 5,000",208동 14층
21.01.14,"15억 9,000",104동 1층
20.12.30,"17억 7,000",104동 18층
20.12.14,"17억 4,000",103동 10층
20.12.12,"17억 3,000",413동 8층
20.12.12,"17억 1,000",403동 11층
20.12.11,"18억 2,000",205동 7층
20.12.03,17억,210동 13층
20.11.26,"16억 9,000",208동 22층
20.11.21,"17억 9,000",208동 21층
20.11.13,"16억 5,500",208동 6층
20.11.08,"16억 6,500",208동 11층
20.11.05,"17억 4,000",210동 3층
20.11.01,"16억 5,000",103동 8층
20.10.31,"16억 9,000",103동 6층
20.10.28,"17억 2,000",205동 13층
20.10.20,"15억 8,000",304동 12층
20.09.21,"16억 8,000",404동 9층
20.09.19,17억,208동 24층
20.09.18,취소17억 400,210동 7층
20.09.18,17억 400,210동 7층
20.09.01,17억,404동 7층
20.09.01,"15억 9,000",404동 15층
