Date,Price,Floor
23.10.24,"25억 9,000",226동 26층
23.10.20,25억,201동 19층
23.10.14,"25억 4,000",227동 16층
23.09.25,"24억 8,000",236동 21층
23.09.23,"24억 8,000",248동 14층
23.09.23,"24억 1,000",211동 27층
23.09.22,24억,236동 4층
23.09.21,"24억 3,500",207동 17층
23.09.19,"24억 4,500",201동 7층
23.09.18,"23억 5,000",218동 5층
23.09.02,"22억 2,800",213동 3층
23.09.02,24억,218동 26층
23.08.30,"24억 4,000",211동 29층
23.08.26,25억,218동 25층
23.08.25,"23억 5,000",202동 17층
23.08.22,"23억 2,000",204동 7층
23.08.14,24억,224동 7층
23.08.12,"23억 5,000",215동 23층
23.08.09,24억,209동 15층
23.08.08,"24억 3,000",218동 20층
23.08.04,"21억 6,000",247동 4층
23.07.27,"22억 5,000",248동 6층
23.07.25,"25억 1,000",217동 18층
23.07.21,"23억 8,000",215동 28층
23.07.21,"21억 7,000",226동 4층
23.07.15,"23억 9,000",219동 13층
23.07.12,23억,214동 11층
23.07.10,"22억 6,200",7층 경매
23.07.08,"23억 5,000",217동 26층
23.07.01,"22억 5,000",248동 15층
23.07.01,"23억 1,500",218동 10층
23.06.30,23억,205동 16층
23.06.29,"22억 7,200",220동 28층
23.06.24,22억,249동 12층
23.06.23,"23억 1,000",218동 23층
23.06.22,"23억 2,000",216동 11층
23.06.22,"23억 2,500",225동 9층
23.06.20,22억,208동 4층
23.06.16,"22억 5,000",224동 6층
23.06.15,"23억 1,000",217동 24층
23.06.14,23억,247동 6층
23.06.13,"22억 2,000",250동 10층
23.06.12,"22억 5,000",204동 33층
23.06.12,"22억 2,500",248동 25층
23.05.31,"23억 2,000",228동 25층
23.05.30,"22억 9,000",225동 29층
23.05.27,"23억 1,500",232동 15층
23.05.25,"21억 5,000",248동 13층
23.05.24,"22억 3,000",251동 20층
23.05.19,"22억 5,000",207동 25층
23.05.18,"22억 2,000",227동 7층
23.05.17,"21억 7,000",236동 22층
23.05.13,"22억 5,000",212동 18층
23.05.12,"21억 8,000",212동 23층
23.05.05,22억,219동 15층
23.05.03,"21억 3,000",221동 10층
23.04.26,"21억 5,000",218동 11층
23.04.20,"21억 7,000",247동 18층
23.04.19,"21억 6,000",217동 7층
23.04.18,"21억 2,000",249동 20층
23.04.08,"20억 2,000",251동 16층
23.04.05,"20억 5,000",248동 19층
23.04.04,"20억 5,000",241동 7층
23.04.03,"20억 7,000",229동 7층
23.03.30,21억,201동 20층
23.03.29,22억,222동 23층
23.03.24,"20억 4,500",229동 29층
23.03.20,"21억 7,000",225동 23층
23.03.18,"21억 9,000",236동 15층
23.03.17,"20억 9,000",249동 18층
23.03.16,"20억 9,000",207동 28층
23.03.15,"21억 3,000",220동 26층
23.03.14,22억,227동 11층
23.03.11,"20억 9,500",231동 23층
23.03.10,"21억 8,000",208동 16층
23.03.06,21억,251동 6층
23.03.04,"19억 5,500",236동 4층
23.02.25,"20억 5,000",241동 16층
23.02.25,"20억 7,000",221동 11층
23.02.25,"취소20억 7,000",221동 11층
23.02.24,"20억 5,000",204동 16층
23.02.23,"20억 3,000",214동 17층
23.02.17,"19억 7,500",247동 25층
23.02.17,"20억 2,500",241동 18층
23.02.17,"20억 5,000",218동 19층
23.02.15,"18억 2,000",248동 1층
23.02.04,"21억 4,000",219동 10층
23.02.04,"18억 9,000",204동 2층
23.02.03,19억,247동 9층
23.02.02,21억,201동 28층
23.02.02,"19억 9,000",213동 21층
23.01.30,20억,208동 29층
23.01.20,"19억 5,000",202동 29층
23.01.20,"20억 5,000",226동 12층
23.01.16,"20억 3,300",230동 20층
23.01.12,"19억 9,000",223동 4층
