Date,Price,Floor
23.10.12,"17억 8,500",204동 12층
23.09.26,"17억 2,000",201동 4층
23.09.26,"17억 5,000",316동 11층
23.09.23,"18억 1,700",201동 12층
23.09.22,"16억 9,300",317동 2층
23.09.20,"17억 3,000",120동 3층
23.09.19,"17억 9,500",105동 18층
23.08.26,18억,120동 19층
23.08.24,"17억 9,000",103동 17층
23.08.18,17억,315동 21층
23.08.16,"17억 3,000",201동 19층
23.08.08,"17억 2,000",204동 3층
23.08.05,"17억 1,500",317동 13층
23.07.22,17억,316동 15층
23.07.22,"17억 1,000",120동 9층
23.07.13,"17억 1,000",315동 26층
23.07.07,"17억 2,500",119동 11층
23.07.03,"15억 9,600",202동 9층
23.06.29,"17억 5,000",315동 10층
23.06.26,"16억 8,500",105동 3층
23.06.24,"16억 7,000",317동 9층
23.06.24,"16억 6,500",120동 4층
23.06.24,"16억 9,000",105동 4층
23.06.22,"17억 5,000",204동 19층
23.06.06,"17억 1,000",316동 20층
23.05.19,"17억 3,000",315동 22층
23.05.08,"16억 7,000",119동 5층
23.05.01,"15억 5,000",103동 1층
23.04.30,"16억 5,000",316동 8층
23.04.28,"16억 5,000",202동 20층
23.04.27,16억,316동 19층
23.04.24,"16억 8,000",105동 14층
23.04.22,17억,104동 22층
23.04.19,"15억 8,000",315동 6층
23.04.18,"15억 4,500",316동 6층
23.04.15,"15억 8,200",316동 10층
23.04.14,16억,317동 19층
23.04.14,"15억 5,000",203동 4층
23.04.07,"14억 4,000",119동 3층
23.03.31,"15억 6,000",204동 24층
23.03.27,"15억 9,000",316동 18층
23.03.27,"14억 4,000",317동 1층
23.03.12,"15억 5,000",120동 18층
23.03.08,"15억 4,000",316동 16층
23.02.28,직10억,316동 6층
23.02.27,15억,202동 3층
23.02.25,"15억 8,500",103동 6층
23.02.22,"15억 3,000",316동 16층
23.02.21,"15억 1,500",204동 9층
23.02.17,"14억 8,000",204동 5층
23.02.14,15억,203동 5층
23.02.02,"14억 7,000",204동 14층
23.01.31,"15억 5,000",202동 21층
23.01.31,"15억 5,500",315동 18층
23.01.30,"14억 2,000",317동 7층
23.01.26,15억,201동 23층
23.01.25,"15억 2,000",119동 19층
23.01.20,"14억 5,000",203동 24층
23.01.19,15억,204동 13층
23.01.11,"14억 9,000",105동 13층
22.11.18,"14억 8,000",315동 27층
22.09.23,17억,317동 19층
22.06.06,"19억 1,000",317동 8층
22.06.04,"19억 3,000",104동 17층
22.01.22,"19억 5,000",315동 7층
22.01.18,"19억 5,000",103동 11층
21.11.18,"19억 4,000",120동 22층
21.10.02,20억,103동 9층
21.09.18,"19억 5,000",119동 27층
21.09.15,19억,103동 12층
21.09.15,"19억 5,000",120동 12층
21.08.28,19억,104동 5층
21.08.27,19억,104동 12층
21.08.25,"19억 1,500",104동 23층
21.08.17,"19억 1,000",104동 17층
21.07.16,"17억 8,000",315동 1층
21.07.12,"17억 9,000",316동 18층
21.07.10,18억,317동 7층
21.07.06,"17억 9,000",317동 6층
21.07.05,"17억 9,000",316동 23층
21.04.06,17억,203동 4층
21.03.11,19억,203동 12층
21.02.25,"16억 9,000",105동 6층
21.02.02,"18억 9,000",204동 15층
21.01.15,"18억 5,000",204동 3층
20.12.22,18억,202동 21층
20.12.18,"17억 8,000",120동 21층
20.12.17,"17억 4,500",202동 11층
20.12.12,"17억 3,500",103동 17층
20.12.12,"17억 6,500",204동 23층
20.12.12,"17억 5,000",104동 26층
20.11.07,"17억 5,000",316동 21층
20.10.16,17억,120동 11층
20.10.13,"17억 5,000",203동 7층
20.10.09,"17억 5,000",120동 24층
